HomeTeam;AwayTeam;Year;HomeGoals;AwayGoals;TotalGoals
Artsakh;Székely Land;2019;2;1;3
Bhutan;Guam;2019;1;0;1
Cambodia;Pakistan;2019;2;0;2
Laos;Bangladesh;2019;0;1;1
Macau;Sri Lanka;2019;1;0;1
Mongolia;Brunei;2019;2;0;2
Czech Republic;Bulgaria;2019;2;1;3
Montenegro;Kosovo;2019;1;1;2
Lithuania;Luxembourg;2019;1;1;2
Ukraine;Serbia;2019;5;0;5
Georgia;Gibraltar;2019;3;0;3
Denmark;Republic of Ireland;2019;1;1;2
Faroe Islands;Spain;2019;1;4;5
Norway;Romania;2019;2;2;4
Sweden;Malta;2019;3;0;3
Austria;Slovenia;2019;1;0;1
North Macedonia;Poland;2019;0;1;1
Latvia;Israel;2019;0;3;3
Lesotho;Zimbabwe;2019;2;2;4
South Africa;Malawi;2019;0;0;0
Argentina;Nicaragua;2019;5;1;6
China PR;Philippines;2019;2;0;2
Fiji;Tahiti;2019;1;1;2
Ivory Coast;Comoros;2019;3;1;4
Kenya;Madagascar;2019;1;0;1
South Korea;Australia;2019;1;0;1
Tunisia;Iraq;2019;2;0;2
Uruguay;Panama;2019;3;0;3
Uzbekistan;North Korea;2019;4;0;4
Malaysia;Timor-Leste;2019;7;1;8
Estonia;Northern Ireland;2019;1;2;3
Belarus;Germany;2019;0;2;2
Croatia;Wales;2019;2;1;3
Azerbaijan;Hungary;2019;1;3;4
Iceland;Albania;2019;1;0;1
Moldova;Andorra;2019;1;0;1
Turkey;France;2019;2;0;2
Russia;San Marino;2019;9;0;9
Scotland;Cyprus;2019;2;1;3
Belgium;Kazakhstan;2019;3;0;3
Finland;Bosnia and Herzegovina;2019;2;0;2
Armenia;Liechtenstein;2019;3;0;3
Greece;Italy;2019;0;3;3
Botswana;Zambia;2019;0;1;1
Angola;Guinea-Bissau;2019;2;0;2
Nigeria;Zimbabwe;2019;0;0;0
Singapore;Solomon Islands;2019;4;3;7
Abkhazia;Chameria;2019;0;0;0
Sápmi;Székely Land;2019;3;2;5
Artsakh;Padania;2019;2;0;2
Brazil;Honduras;2019;7;0;7
Cameroon;Zambia;2019;2;1;3
DR Congo;Burkina Faso;2019;0;0;0
Japan;El Salvador;2019;2;0;2
Mexico;Ecuador;2019;3;2;5
Paraguay;Guatemala;2019;2;0;2
Peru;Colombia;2019;0;3;3
Turkmenistan;Uganda;2019;0;0;0
United States;Venezuela;2019;0;3;3
Switzerland;England;2019;0;0;0
Portugal;Netherlands;2019;1;0;1
Western Armenia;South Ossetia;2019;0;1;1
Czech Republic;Montenegro;2019;3;0;3
Bulgaria;Kosovo;2019;2;3;5
Serbia;Lithuania;2019;4;1;5
Ukraine;Luxembourg;2019;1;0;1
Republic of Ireland;Gibraltar;2019;2;0;2
Denmark;Georgia;2019;5;1;6
Faroe Islands;Norway;2019;0;2;2
Malta;Romania;2019;0;4;4
Spain;Sweden;2019;3;0;3
North Macedonia;Austria;2019;1;4;5
Poland;Israel;2019;4;0;4
Latvia;Slovenia;2019;0;5;5
Vanuatu;Fiji;2019;0;0;0
Germany;Estonia;2019;8;0;8
Belarus;Northern Ireland;2019;0;1;1
Azerbaijan;Slovakia;2019;1;5;6
Hungary;Wales;2019;1;0;1
Iceland;Turkey;2019;2;1;3
Albania;Moldova;2019;2;0;2
Andorra;France;2019;0;4;4
Kazakhstan;San Marino;2019;4;0;4
Belgium;Scotland;2019;3;0;3
Russia;Cyprus;2019;1;0;1
Italy;Bosnia and Herzegovina;2019;2;1;3
Liechtenstein;Finland;2019;0;2;2
